iter	Passed	Remaining
1278	58400	7397
1279	58445	7351
1280	58494	7306
1281	58540	7260
1282	58586	7214
1283	58632	7169
1284	58677	7123
1285	58721	7077
1286	58767	7032
1287	58812	6986
1288	58857	6940
1289	58902	6894
1290	58947	6849
1291	58993	6803
1292	59038	6757
1293	59085	6712
1294	59132	6666
1295	59178	6621
1296	59223	6575
1297	59268	6529
1298	59313	6483
1299	59358	6438
1300	59404	6392
1301	59449	6346
1302	59495	6301
1303	59544	6255
1304	59627	6214
1305	59680	6169
1306	59725	6123
1307	59770	6077
1308	59817	6031
1309	59862	5986
1310	59908	5940
1311	59954	5894
1312	60002	5849
1313	60047	5803
1314	60092	5757
1315	60137	5712
1316	60183	5666
1317	60229	5620
1318	60275	5575
1319	60320	5529
1320	60365	5483
1321	60412	5438
1322	60457	5392
1323	60502	5346
1324	60548	5300
1325	60595	5255
1326	60641	5209
1327	60687	5163
1328	60734	5118
1329	60779	5072
1330	60824	5026
1331	60869	4981
1332	60914	4935
1333	60959	4889
1334	61006	4843
1335	61052	4798
1336	61096	4752
1337	61141	4706
1338	61185	4660
1339	61230	4615
1340	61276	4569
1341	61321	4523
1342	61367	4478
1343	61412	4432
1344	61458	4386
1345	61502	4340
1346	61549	4295
1347	61593	4249
1348	61639	4203
1349	61684	4157
1350	61729	4112
1351	61776	4066
1352	61821	4020
1353	61866	3975
1354	61910	3929
1355	61958	3883
1356	62005	3838
1357	62054	3792
1358	62101	3747
1359	62146	3701
1360	62192	3655
1361	62237	3609
1362	62282	3564
1363	62330	3518
1364	62377	3473
1365	62422	3427
1366	62468	3381
1367	62514	3335
1368	62560	3290
1369	62605	3244
1370	62650	3198
1371	62694	3153
1372	62740	3107
1373	62787	3061
1374	62832	3015
1375	62877	2970
1376	62923	2924
1377	62969	2878
1378	63017	2833
1379	63062	2787
1380	63108	2741
1381	63153	2696
1382	63197	2650
1383	63243	2604
1384	63288	2558
1385	63333	2513
1386	63378	2467
1387	63423	2421
1388	63468	2376
1389	63513	2330
1390	63558	2284
1391	63603	2238
1392	63649	2193
1393	63695	2147
1394	63740	2101
1395	63786	2056
1396	63830	2010
1397	63877	1964
1398	63922	1919
1399	63968	1873
1400	64013	1827
1401	64066	1782
1402	64114	1736
1403	64161	1690
1404	64206	1645
1405	64251	1599
1406	64297	1553
1407	64341	1508
1408	64386	1462
1409	64431	1416
1410	64476	1370
1411	64521	1325
1412	64567	1279
1413	64613	1233
1414	64658	1188
1415	64703	1142
1416	64750	1096
1417	64796	1050
1418	64841	1005
1419	64887	959
1420	64935	913
1421	64982	868
1422	65031	822
1423	65078	776
1424	65124	731
1425	65170	685
1426	65217	639
1427	65262	594
1428	65307	548
1429	65352	502
1430	65397	457
1431	65444	411
1432	65489	365
1433	65535	319
1434	65581	274
1435	65627	228
1436	65674	182
1437	65719	137
1438	65763	91
1439	65809	45
1440	65854	0
